_H:	$Name	%Input[2:0,0]<2:25,1>	%Input[2:1,0]	%Input[2:2,0]	%Input[2:3,0]	%Input[2:4,0]	%Input[2:5,0]	%Input[2:6,0]	%Input[2:7,0]	%Input[2:8,0]	%Input[2:9,0]	%Input[2:10,0]	%Input[2:11,0]	%Input[2:12,0]	%Input[2:13,0]	%Input[2:14,0]	%Input[2:15,0]	%Input[2:16,0]	%Input[2:17,0]	%Input[2:18,0]	%Input[2:19,0]	%Input[2:20,0]	%Input[2:21,0]	%Input[2:22,0]	%Input[2:23,0]	%Input[2:24,0]	%Output[2:0,0]<2:1,1>
_D:	"N120_20140702_043000_20140702_045000"	0.1875	0.49863	0	0	1	0	0	0	0	0	0	0.393939	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0170104
_D:	"N120_20140702_045000_20140702_051000"	0.201389	0.49863	0	0	1	0	0	0	0	0	0	0.381818	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0119583
_D:	"N120_20140702_051000_20140702_053000"	0.215278	0.49863	0	0	1	0	0	0	0	0	0	0.357576	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0208717
_D:	"N120_20140702_053000_20140702_055000"	0.229167	0.49863	0	0	1	0	0	0	0	0	0	0.351515	0	0	0	0	0	0	0	0	0	0	0	0	0	0.122052
_D:	"N120_20140702_055000_20140702_061000"	0.243056	0.49863	0	0	1	0	0	0	0	0	0	0.357576	0	0	0	0	0	0	0	0	0	0	0	0	0	0.62775
_D:	"N120_20140702_061000_20140702_063000"	0.256944	0.49863	0	0	1	0	0	0	0	0	0	0.321212	0	0	0	0	0	0	0	0	0	0	0	0	0	0.634667
_D:	"N120_20140702_063000_20140702_065000"	0.270833	0.49863	0	0	1	0	0	0	0	0	0	0.324242	0	0	0	0	0	0	0	0	0	0	0	0	0	0.535474
_D:	"N120_20140702_065000_20140702_071000"	0.284722	0.49863	0	0	1	0	0	0	0	0	0	0.360606	0	0	0	0	0	0	0	0	0	0	0	0	0	0.541021
_D:	"N120_20140702_071000_20140702_073000"	0.298611	0.49863	0	0	1	0	0	0	0	0	0	0.357576	0	0	0	0	0	0	0	0	0	0	0	0	0	0.594732
_D:	"N120_20140702_073000_20140702_075000"	0.3125	0.49863	0	0	1	0	0	0	0	0	0	0.369697	0	0	0	0	0	0	0	0	0	0	0	0	0	0.40888
_D:	"N120_20140702_075000_20140702_081000"	0.326389	0.49863	0	0	1	0	0	0	0	0	0	0.372727	0	0	0	0	0	0	0	0	0	0	0	0	0	0.44313
_D:	"N120_20140702_081000_20140702_083000"	0.340278	0.49863	0	0	1	0	0	0	0	0	0	0.339394	0	0	0	0	0	0	0	0	0	0	0	0	0	0.540396
_D:	"N120_20140702_083000_20140702_085000"	0.354167	0.49863	0	0	1	0	0	0	0	0	0	0.330303	0	0	0	0	0	0	0	0	0	0	0	0	0	0.292427
_D:	"N120_20140702_085000_20140702_091000"	0.368056	0.49863	0	0	1	0	0	0	0	0	0	0.318182	0	0	0	0	0	0	0	0	0	0	0	0	0	0.206475
_D:	"N120_20140702_091000_20140702_093000"	0.381944	0.49863	0	0	1	0	0	0	0	0	0	0.345455	0	0	0	0	0	0	0	0	0	0	0	0	0	0.260292
_D:	"N120_20140702_093000_20140702_095000"	0.395833	0.49863	0	0	1	0	0	0	0	0	0	0.369697	0	0	0	0	0	0	0	0	0	0	0	0	0	0.458937
_D:	"N120_20140702_095000_20140702_101000"	0.409722	0.49863	0	0	1	0	0	0	0	0	0	0.381818	0	0	0	0	0	0	0	0	0	0	0	0	0	0.425385
_D:	"N120_20140702_101000_20140702_103000"	0.423611	0.49863	0	0	1	0	0	0	0	0	0	0.324242	0	0	0	0	0	0	0	0	0	0	0	0	0	0.53663
_D:	"N120_20140702_103000_20140702_105000"	0.4375	0.49863	0	0	1	0	0	0	0	0	0	0.366667	0	0	0	0	0	0	0	0	0	0	0	0	0	0.482375
_D:	"N120_20140702_105000_20140702_111000"	0.451389	0.49863	0	0	1	0	0	0	0	0	0	0.378788	0	0	0	0	0	0	0	0	0	0	0	0	0	0.313047
_D:	"N120_20140702_111000_20140702_113000"	0.465278	0.49863	0	0	1	0	0	0	0	0	0	0.381818	0	0	0	0	0	0	0	0	0	0	0	0	0	0.451979
_D:	"N120_20140702_113000_20140702_115000"	0.479167	0.49863	0	0	1	0	0	0	0	0	0	0.40303	0	0	0	0	0	0	0	0	0	0	0	0	0	0.226172
_D:	"N120_20140702_115000_20140702_121000"	0.493056	0.49863	0	0	1	0	0	0	0	0	0	0.342424	0	0	0	0	0	0	0	0	0	0	0	0	0	0.139193
_D:	"N120_20140702_121000_20140702_123000"	0.506944	0.49863	0	0	1	0	0	0	0	0	0	0.393939	0	0	0	0	0	0	0	0	0	0	0	0	0	0.141422
_D:	"N120_20140702_123000_20140702_125000"	0.520833	0.49863	0	0	1	0	0	0	0	0	0	0.409091	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0204271
_D:	"N120_20140702_125000_20140702_131000"	0.534722	0.49863	0	0	1	0	0	0	0	0	0	0.318182	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00713021
_D:	"N120_20140702_131000_20140702_133000"	0.548611	0.49863	0	0	1	0	0	0	0	0	0	0.357576	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0187939
_D:	"N120_20140702_133000_20140702_135000"	0.5625	0.49863	0	0	1	0	0	0	0	0	0	0.390909	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0157188
_D:	"N120_20140702_135000_20140702_141000"	0.576389	0.49863	0	0	1	0	0	0	0	0	0	0.342424	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00929688
_D:	"N120_20140702_141000_20140702_143000"	0.590278	0.49863	0	0	1	0	0	0	0	0	0	0.345455	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0190625
_D:	"N120_20140702_143000_20140702_145000"	0.604167	0.49863	0	0	1	0	0	0	0	0	0	0.375758	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0115365
_D:	"N120_20140702_145000_20140702_151000"	0.618056	0.49863	0	0	1	0	0	0	0	0	0	0.363636	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0139474
_D:	"N120_20140702_151000_20140702_153000"	0.631944	0.49863	0	0	1	0	0	0	0	0	0	0.363636	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0142882
_D:	"N120_20140702_153000_20140702_155000"	0.645833	0.49863	0	0	1	0	0	0	0	0	0	0.333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00849232
_D:	"N120_20140702_155000_20140702_161000"	0.659722	0.49863	0	0	1	0	0	0	0	0	0	0.366667	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0156979
_D:	"N120_20140702_161000_20140702_163000"	0.673611	0.49863	0	0	1	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0180052
_D:	"N120_20140702_163000_20140702_165000"	0.6875	0.49863	0	0	1	0	0	0	0	0	0	0.318182	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00720312
_D:	"N120_20140702_165000_20140702_171000"	0.701389	0.49863	0	0	1	0	0	0	0	0	0	0.342424	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0250052
_D:	"N120_20140702_171000_20140702_173000"	0.715278	0.49863	0	0	1	0	0	0	0	0	0	0.348485	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125677
_D:	"N120_20140702_173000_20140702_175000"	0.729167	0.49863	0	0	1	0	0	0	0	0	0	0.321212	0	0	0	0	0	0	0	0	0	0	0	0	0	0.182021
_D:	"N120_20140702_175000_20140702_181000"	0.743056	0.49863	0	0	1	0	0	0	0	0	0	0.324242	0	0	0	0	0	0	0	0	0	0	0	0	0	0.146401
