_H:	$Name	%Input[2:0,0]<2:25,1>	%Input[2:1,0]	%Input[2:2,0]	%Input[2:3,0]	%Input[2:4,0]	%Input[2:5,0]	%Input[2:6,0]	%Input[2:7,0]	%Input[2:8,0]	%Input[2:9,0]	%Input[2:10,0]	%Input[2:11,0]	%Input[2:12,0]	%Input[2:13,0]	%Input[2:14,0]	%Input[2:15,0]	%Input[2:16,0]	%Input[2:17,0]	%Input[2:18,0]	%Input[2:19,0]	%Input[2:20,0]	%Input[2:21,0]	%Input[2:22,0]	%Input[2:23,0]	%Input[2:24,0]	%Output[2:0,0]<2:1,1>
_D:	"N120_20141012_200000_20141012_202000"	0.833333	0.778082	0	0	0	0	0	0	1	0	0	0.472727	0	0	1	0	0	0	0	0	0	0	0	0	0	0
_D:	"N120_20141012_193000_20141012_195000"	0.8125	0.778082	0	0	0	0	0	0	1	0	0	0.442424	0	0	1	0	0	0	0	0	0	0	0	0	0	0
_D:	"N120_20141012_190000_20141012_192000"	0.791667	0.778082	0	0	0	0	0	0	1	0	0	0.442424	0	0	1	0	0	0	0	0	0	0	0	0	0	0.180562
_D:	"N120_20141012_183000_20141012_185000"	0.770833	0.778082	0	0	0	0	0	0	1	0	0	0.412121	0	0	1	0	0	0	0	0	0	0	0	0	0	0.156352
_D:	"N120_20141012_180000_20141012_182000"	0.75	0.778082	0	0	0	0	0	0	1	0	0	0.412121	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0695455
_D:	"N120_20141012_173000_20141012_175000"	0.729167	0.778082	0	0	0	0	0	0	1	0	0	0.412121	0	0	1	0	0	0	0	0	0	0	0	0	0	0
_D:	"N120_20141012_170000_20141012_172000"	0.708333	0.778082	0	0	0	0	0	0	1	0	0	0.412121	0	0	1	0	0	0	0	0	0	0	0	0	0	0
_D:	"N120_20141012_163000_20141012_165000"	0.6875	0.778082	0	0	0	0	0	0	1	0	0	0.412121	0	0	1	0	0	0	0	0	0	0	0	0	0	0
_D:	"N120_20141012_160000_20141012_162000"	0.666667	0.778082	0	0	0	0	0	0	1	0	0	0.412121	0	0	1	0	0	0	0	0	0	0	0	0	0	0.00609375
_D:	"N120_20141012_153000_20141012_155000"	0.645833	0.778082	0	0	0	0	0	0	1	0	0	0.412121	0	0	1	0	0	0	0	0	0	0	0	0	0	0.010875
_D:	"N120_20141012_150000_20141012_152000"	0.625	0.778082	0	0	0	0	0	0	1	0	0	0.412121	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0120625
_D:	"N120_20141012_143000_20141012_145000"	0.604167	0.778082	0	0	0	0	0	0	1	0	0	0.442424	0	0	1	0	0	0	0	0	0	0	0	0	0	0
_D:	"N120_20141012_140000_20141012_142000"	0.583333	0.778082	0	0	0	0	0	0	1	0	0	0.442424	0	0	1	0	0	0	0	0	0	0	0	0	0	0
_D:	"N120_20141012_133000_20141012_135000"	0.5625	0.778082	0	0	0	0	0	0	1	0	0	0.442424	0	0	1	0	0	0	0	0	0	0	0	0	0	0
_D:	"N120_20141012_130000_20141012_132000"	0.541667	0.778082	0	0	0	0	0	0	1	0	0	0.442424	0	0	1	0	0	0	0	0	0	0	0	0	0	0.00625
_D:	"N120_20141012_123000_20141012_125000"	0.520833	0.778082	0	0	0	0	0	0	1	0	0	0.442424	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0167188
_D:	"N120_20141012_120000_20141012_122000"	0.5	0.778082	0	0	0	0	0	0	1	0	0	0.442424	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0142188
_D:	"N120_20141012_113000_20141012_115000"	0.479167	0.778082	0	0	0	0	0	0	1	0	0	0.442424	0	0	1	0	0	0	0	0	0	0	0	0	0	0
_D:	"N120_20141012_103000_20141012_105000"	0.4375	0.778082	0	0	0	0	0	0	1	0	0	0.442424	0	0	1	0	0	0	0	0	0	0	0	0	0	0
_D:	"N120_20141012_100000_20141012_102000"	0.416667	0.778082	0	0	0	0	0	0	1	0	0	0.442424	0	0	1	0	0	0	0	0	0	0	0	0	0	0.00625
_D:	"N120_20141012_093000_20141012_095000"	0.395833	0.778082	0	0	0	0	0	0	1	0	0	0.442424	0	0	1	0	0	0	0	0	0	0	0	0	0	0.19
_D:	"N120_20141012_090000_20141012_092000"	0.375	0.778082	0	0	0	0	0	0	1	0	0	0.442424	0	0	1	0	0	0	0	0	0	0	0	0	0	0.223031
_D:	"N120_20141012_083000_20141012_085000"	0.354167	0.778082	0	0	0	0	0	0	1	0	0	0.442424	0	0	1	0	0	0	0	0	0	0	0	0	0	0
_D:	"N120_20141012_080000_20141012_082000"	0.333333	0.778082	0	0	0	0	0	0	1	0	0	0.442424	0	0	1	0	0	0	0	0	0	0	0	0	0	0
_D:	"N120_20141012_073000_20141012_075000"	0.3125	0.778082	0	0	0	0	0	0	1	0	0	0.442424	0	0	1	0	0	0	0	0	0	0	0	0	0	0
_D:	"N120_20141012_070000_20141012_072000"	0.291667	0.778082	0	0	0	0	0	0	1	0	0	0.442424	0	0	1	0	0	0	0	0	0	0	0	0	0	0.214687
_D:	"N120_20141012_063000_20141012_065000"	0.270833	0.778082	0	0	0	0	0	0	1	0	0	0.442424	0	0	1	0	0	0	0	0	0	0	0	0	0	0.29459
_D:	"N120_20141012_060000_20141012_062000"	0.25	0.778082	0	0	0	0	0	0	1	0	0	0.442424	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0230312
_D:	"N120_20141012_053000_20141012_055000"	0.229167	0.778082	0	0	0	0	0	0	1	0	0	0.472727	0	0	1	0	0	0	0	0	0	0	0	0	0	0
_D:	"N120_20141012_050000_20141012_052000"	0.208333	0.778082	0	0	0	0	0	0	1	0	0	0.472727	0	0	1	0	0	0	0	0	0	0	0	0	0	0
_D:	"N120_20141012_043000_20141012_045000"	0.1875	0.778082	0	0	0	0	0	0	1	0	0	0.472727	0	0	1	0	0	0	0	0	0	0	0	0	0	0
_D:	"N120_20141012_040000_20141012_042000"	0.166667	0.778082	0	0	0	0	0	0	1	0	0	0.50303	0	0	1	0	0	0	0	0	0	0	0	0	0	0.105833
_D:	"N120_20141012_033000_20141012_035000"	0.145833	0.778082	0	0	0	0	0	0	1	0	0	0.50303	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0506406
_D:	"N120_20141012_030000_20141012_032000"	0.125	0.778082	0	0	0	0	0	0	1	0	0	0.50303	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0280469
_D:	"N120_20141012_023000_20141012_025000"	0.104167	0.778082	0	0	0	0	0	0	1	0	0	0.533333	0	0	1	0	0	0	0	0	0	0	0	0	0	0
_D:	"N120_20141012_020000_20141012_022000"	0.0833333	0.778082	0	0	0	0	0	0	1	0	0	0.50303	0	0	1	0	0	0	0	0	0	0	0	0	0	0
_D:	"N120_20141012_013000_20141012_015000"	0.0625	0.778082	0	0	0	0	0	0	1	0	0	0.50303	0	0	1	0	0	0	0	0	0	0	0	0	0	0
_D:	"N120_20141012_010000_20141012_012000"	0.0416667	0.778082	0	0	0	0	0	0	1	0	0	0.50303	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0375893
_D:	"N120_20141012_003000_20141012_005000"	0.0208333	0.778082	0	0	0	0	0	0	1	0	0	0.50303	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0477813
